Location,Movie Title,Date,Amenities
,,,
"Nat King Cole Park, Chicago """,Despicable Me 2,7-Jul,
,,,
"Dunbar Park, Chicago """,Hotel Transylvania,8-Jul,
,,,
"Millennium Park, Chicago """,20 Feet from Stardom,8-Jul,
,,,
"Gompers Park, Chicago """,Cloudy with a Chance of Meatballs 2,8-Jul,
,,,
"Hermitage Park, Chicago """,The Amazing Spider-Man,8-Jul,
,,,
"Chicago History Museum, Chicago """,Ferris Bueller's Day Off,9-Jul,
"Hopefully a valet to leave your dad's A 1961 Ferrari GT California with.""",,,
,,,
"Piotrowski Park, Chicago """,Happy Feet,9-Jul,
"Selections from the International Latino Cultural Center.""",,,
,,,
"O'Hallaren Park, Chicago """,Gravity,10-Jul,
"Family friendly activities and games""",,,
,,,
"Maplewood Playlot Park, Chicago """,The Lego Movie,10-Jul,
,,,
"Normandy Park, Chicago """,Gremlins ,10-Jul,
,,,
"Wildwood Park, Chicago """,Free Birds,10-Jul,
,,,
"Mayfair Park, Chicago """,The Nut Job,11-Jul,
"Family friendly activities and games.""",,,
,,,
"Jefferson Memorial Park, Chicago """,Frozen ,11-Jul,
"Family friendly activities and games.""",,,
,,,
"Independence  Park, Chicago """,The Avengers,11-Jul,
"Family friendly activities and games.""",,,
,,,
"Dunham Park, Chicago """,Ghostbusters ,11-Jul,
,,,
"Eugene Field Park, Chicago """,Despicable Me 2,11-Jul,
,,,
"Holstein Park, Chicago """,Moonrise Kingdom,11-Jul,
,,,
"Avondale Park, Chicago """,Rudy ,12-Jul,
"Park is dark enough that nobody will see you cry.""",,,
,,,
"Brainerd Park, Chicago """,Mandela: Long Walk to Freedom,12-Jul,
,,,
"Oz Park, Chicago """,Return to Me,12-Jul,
,,,
"Douglas Park, Chicago """,Willy Wonka & the Chocolate Factory,13-Jul,
,,,
"Emmerson Park, Chicago """,Despicable Me 2,13-Jul,
,,,
"Lake Shore Park, Chicago """,The Monuments Men,13-Jul,
,,,
"Mandrake Park, Chicago """,Beasts of the Southern Wild,14-Jul,
,,,
"Pasteur Park, Chicago """,Cloudy with a Chance of Meatballs 2,14-Jul,
,,,
"Millennium Park, Chicago ""","O Brother, Where Art Thou?",15-Jul,
,,,
"Hermosa Park, Chicago """,Fast & Furious 6,15-Jul,
"Nearby parking for your muscle car.""",,,
,,,
"Montgomery Ward Park, Chicago """,Chicago ,15-Jul,
,,,
"Murray Playground Park, Chicago """,The Lorax,15-Jul,
,,,
"Gompers Park, Chicago """,The Muppet Movie ,16-Jul,
"Family friendly activities and games.""",,,
,,,
"Palmer Park, Chicago """,The Family that Preys,16-Jul,
"Family friendly activities and games.""",,,
,,,
"Calumet Park, Chicago """,Fireproof,16-Jul,
"Selections from the International Latino Cultural Center.""",,,
,,,
"Skinner Park, Chicago """,The Smurfs 2,16-Jul,
,,,
"Armour Square Park, Chicago """,Singin' in the Rain,17-Jul,
,,,
"Jackie Robinson Park, Chicago """,42,17-Jul,
,,,
"Wicker Park, Chicago """,The Sandlot ,17-Jul,
"Wormhole Coffee, room for some serious long toss.""",,,
,,,
"Brooks Park, Chicago """,The Smurfs 2 ,18-Jul,
,,,
"Fosco Park, Chicago """,Mandela: Long Walk to Freedom,18-Jul,
,,,
"Ken-Well Park, Chicago """,Journey 2: The Mysterious Island,18-Jul,
,,,
"DuSable Museum of African American History, Chicago """,42,19-Jul,
,,,
"Ellis Park, Chicago """,Despicable Me 2,19-Jul,
,,,
"Loyola Park, Chicago """,Captain Phillips,19-Jul,
,,,
"Humboldt Park, Chicago """,The Book Thief,20-Jul,
,,,
"Jonquil Playlot, Chicago """,Ghostbusters ,20-Jul,
,,,
"Tuley Park, Chicago """,The Hunger Games: Catching Fire ,20-Jul,
,,,
"Calumet Park, Chicago """,Buck and the Preacher,21-Jul,
,,,
"Fulton River Park, Chicago """,Sixteen Candles,21-Jul,
"Plenty of trees to climb when impersonating Long Duk Dong.""",,,
,,,
"Sheridan Park, Chicago """,The Little Rascals,21-Jul,
,,,
"Millennium Park, Chicago """,Field of Dreams,22-Jul,
,,,
"Amundsen Park, Chicago """,Ride Along,22-Jul,
,,,
"Hoyne Playground Park, Chicago """,Cloudy With a Chance of Meatballs 2 ,22-Jul,
,,,
"Smith Park, Chicago """,Ghostbusters,22-Jul,
,,,
"Kilbourn Park, Chicago """,Annie ,23-Jul,
"Selections from the International Latino Cultural Center.""",,,
,,,
"Mann Park, Chicago """,The Little Rascals,23-Jul,
,,,
"Sumner Park, Chicago """,Ride Along,23-Jul,
,,,
"Lincoln Park Zoo, Chicago """,Talladega Nights,24-Jul,
"After-hours zoo access and Lagunitas beer.""",,,
,,,
"Athletic Field Park, Chicago """,The Perfect Game,24-Jul,
"Family friendly activities and games.""",,,
,,,
"Fuller Park, Chicago """,Despicable Me 2,24-Jul,
,,,
"Mary Bartelme Park, Chicago """,Star Trek: Into Darkness,24-Jul,
,,,
"Rainey Park, Chicago """,Turbo ,24-Jul,
,,,
"Altgeld Park, Chicago """,Drumline ,25-Jul,
,,,
"Avalon Park, Chicago """,42,25-Jul,
,,,
"Galewood Park, Chicago """,The Hunger Games: Catching Fire,25-Jul,
,,,
"Hoard Playground Park, Chicago """,The Amazing Spider-Man,26-Jul,
,,,
"Kennicott Park, Chicago """,Roll Bounce,26-Jul,
,,,
"Paschen Park, Chicago """,Despicable Me 2,26-Jul,
,,,
"Austin Town Hall Park, Chicago """,The Help,27-Jul,
,,,
"Marquette Park, Chicago """,Life of Pi ,27-Jul,
,,,
"Jackson Park Grove 16, Chicago """,Rebel Without a Cause,28-Jul,
,,,
"Belmont Harbor, Chicago """,The Bachelor and the Bobby Soxer,28-Jul,
,,,
"Russell Square Park, Chicago """,The Nut Job,28-Jul,
