Location	MovieDate	Formatted_Address	Lat	Lng
Chicago History Museum, Chicago 	Aug-20 The Princess Bride	Chicago History Museum, 1601 North Clark Street, Chicago, IL 60614, USA	41.9119897	-87.6315267
Nichols Park, Chicago 	Aug-20 The Nut Job	Nichols Park, 1355 East 53rd Street, Chicago, IL 60615, USA	41.7972902	-87.59388489999999
South Shore Cultural Center, Chicago 	Aug-20 Car Wash	South Shore Cultural Center, 7059 South South Shore Drive, Chicago, IL 60649, USA	41.7673406	-87.5662985
Lincoln Park Zoo, Chicago 	Aug-21 Harry Potter and the Sorcerer's Stone	Lincoln Park Zoo, 2001 North Clark Street, Chicago, IL 60614, USA	41.9208903	-87.6329172
Arrigo Park, Chicago 	Aug-21 Back to the Future	Arrigo Park, Chicago, IL 60607, USA	41.8715384	-87.6598084
Moore Park, Chicago 	Aug-21 Stomp the Yard 	Moore Park, Chicago, IL 60644, USA	41.878143	-87.75273
Pasteur Park, Chicago 	Aug-21 The Goonies	Pasteur Park, 5825 South Kostner Avenue, Chicago, IL 60629, USA	41.7876517	-87.73274339999999
Golden Gate Park, Chicago 	Aug-22 Man of Steel	Golden Gate Park, 13000 South Eberhart Avenue, Chicago, IL 60627, USA	41.6584217	-87.6115411
Humboldt Park, Chicago 	Aug-22 The Benchwarmers	Humboldt Park, Chicago, IL, USA	41.9017035	-87.70248169999999
Meyering Park, Chicago 	Aug-22 Ride Along	Meyering Park, 7140 South Doctor Martin Luther King Junior Drive, Chicago, IL 60619, USA	41.7644629	-87.61606809999999
Mayfair Park, Chicago 	Aug-23 The Lego Movie	Mayfair Park, 4550 West Sunnyside Avenue, Chicago, IL 60630, USA	41.9630637	-87.742038
Oz Park, Chicago 	Aug-23 The Wizard of Oz	Oz Park, 2021 North Burling Street, Chicago, IL 60614, USA	41.9210045	-87.645164
Hamilton Park, Chicago 	Aug-24 The Help	Hamilton Park, 513 West 72nd Street, Chicago, IL 60621, USA	41.7628237	-87.63769359999999
Palmer Park, Chicago 	Aug-24 The Great Gatsby	Palmer Park, 201 East 111th Street, Chicago, IL 60628, USA	41.6922968	-87.61763440000001
Grant Park: Grove 5, Chicago 	Aug-25 Indiana Jones and the Temple of Doom	South Grove Street, Chicago, IL, USA	41.8488784	-87.64327809999999
Shedd Park, Chicago 	Aug-25 The Amazing Spider-Man	Shedd Park, 3660 West 23rd Street, Chicago, IL 60623, USA	41.8500587	-87.71700150000001
South Shore Cultural Center, Chicago 	Aug-25 The Great Gatsby	South Shore Cultural Center, 7059 South South Shore Drive, Chicago, IL 60649, USA	41.7673406	-87.5662985
Millennium Park, Chicago 	Aug-26 The Wizard of Oz	Millennium Park, Chicago, IL, USA	41.8827024	-87.6193938
Emmerson Park, Chicago 	Aug-26 Star Trek: Into Darkness 	Emmerson Park, 1820 West Granville Avenue, Chicago, IL 60660, USA	41.9945884	-87.6770674
Lake Shore Park, Chicago 	Aug-26 The Hunger Games: Catching Fire	Lake Shore & North Ave, Chicago, IL 60610, USA	41.910497	-87.626317
Montgomery Ward Park, Chicago 	Aug-26 The Lego Movie 	Ward, A. Montgomery Park, West Erie Street, Chicago, IL 60654, USA	41.8937062	-87.6417509
Trebes Park, Chicago 	Aug-27 Willy Wonka & the Chocolate Factory	Trebes Park, 2250 North Clifton Avenue, Chicago, IL 60614, USA	41.9220339	-87.6576506
Burnside Playlot, Chicago 	Aug-27 42	Chicago, IL, USA	41.8781136	-87.6297982
South Shore Cultural Center, Chicago 	Aug-27 The Wiz	South Shore Cultural Center, 7059 South South Shore Drive, Chicago, IL 60649, USA	41.7673406	-87.5662985
Willye B. White Park, Chicago 	Aug-27 Cloudy with a Chance of Meatballs 2	Willye B. White Park, 1610 West Howard Street, Chicago, IL 60626, USA	42.0201398	-87.6705961
Holstein Park, Chicago 	Aug-28 The Goonies	Holstein Park, 2200 North Oakley Avenue, Chicago, IL 60647, USA	41.9216438	-87.6850879
Mandrake Park, Chicago 	Aug-28 The Muppet Movie	Mandrake Park, 901 E. Pershing Rd, Chicago, IL 60653, USA	41.8231319	-87.6072208
Chicago Women's Park & Gardens, Chicago 	Aug-28 The Lego Movie	Chicago Women's Park and Gardens, 1801 South Indiana Avenue, Chicago, IL 60616, USA	41.8571047	-87.6215689
Athletic Field Park, Chicago 	Aug-29 Brave 	Athletic Field Park, 3546 West Addison Street, Chicago, IL 60618, USA	41.9475472	-87.7169538
Ping Tom Memorial Park, Chicago 	Aug-29 The Lego Movie	Ping Tom Memorial Park, 300 West 19th Street, Chicago, IL 60616, USA	41.8578337	-87.6343704
Pottawattomie Park, Chicago 	Aug-29 The Smurfs 2	Pottawattomie Park, 7340 North Rogers Avenue, Chicago, IL 60626, USA	42.014845	-87.67805229999999
Veteran's Memorial Park, Chicago 	Aug-29 Despicable Me 2	Veteran's Memorial Park, 2820 East 98th Street, Chicago, IL 60617, USA	41.7182185	-87.5558573
Horner Park, Chicago 	Aug-30 The Wizard of Oz	Horner Park, Chicago, IL, USA	41.9585722	-87.6950899
Jonquil Playlot, Chicago 	Aug-30 The Hunger Games: Catching Fire	Jonquil Playlot Park, 1001 West Wrightwood Avenue, Chicago, IL 60614, USA	41.92847889999999	-87.6545678
La Follette Park, Chicago 	Aug-30 Cloudy with a Chance of Meatballs 2	Chicago, IL, USA	41.8781136	-87.6297982
Lincoln Park Zoo, Chicago 	Sep-5 Best in Show	Lincoln Park Zoo, 2001 North Clark Street, Chicago, IL 60614, USA	41.9208903	-87.6329172
Chopin Park, Chicago 	Sep-13 Ironman 3	Chopin Park, 3420 North Long Avenue, Chicago, IL 60641, USA	41.942676	-87.7617358
